,author,date,genre,gutenberg_id,source,title,viaf_author_uri,dictcom_gl,oed_gl
0,"Defoe, Daniel, 1661?-1731",1706,fic,36587,gutenberg,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,http://viaf.org/viaf/39375774,0.5408878504672897,0.34643226473629785
1,"Congreve, William, 1670-1729",1713,fic,2363,gutenberg,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,http://viaf.org/viaf/24616924,0.4411764705882353,0.2774346793349169
3,"Defoe, Daniel, 1661?-1731",1719,fic,561,gutenberg,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,http://viaf.org/viaf/39375774,0.4592391304347826,0.2737760270118177
2,"Defoe, Daniel, 1661?-1731",1719,fic,11866,gutenberg,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,http://viaf.org/viaf/39375774,0.4632624113475177,0.2704194260485651
4,"Defoe, Daniel, 1661?-1731",1721,fic,370,gutenberg,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,http://viaf.org/viaf/39375774,0.45083102493074795,0.26556016597510373
6,"Swift, Jonathan, 1667-1745",1726,fic,829,gutenberg,Gulliver's Travels into Several Remote Nations of the World,http://viaf.org/viaf/14777110,0.4074074074074074,0.2547716062620631
5,"Carey, Henry, 1687?-1743",1726,fic,28105,gutenberg,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,http://viaf.org/viaf/14965532,0.5600539811066126,0.332205301748449
7,"Richardson, Samuel, 1689-1761",1741,fic,6124,gutenberg,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,http://viaf.org/viaf/41845728,0.44062863795110596,0.23833437957731743
8,"Smollett, Tobias George, 1721-1771",1748,fic,4085,gutenberg,THE ADVENTURES OF Roderick Random.,http://viaf.org/viaf/68935985,0.38802660753880264,0.20185317177476836
9,"Fielding, Henry, 1707-1754",1749,fic,6593,gutenberg,THE HISTORY OF TOM JONES A FOUNDLING.,http://viaf.org/viaf/61545697,0.3920466375182178,0.20132835201328353
10,"Sterne, Laurence, 1713-1768",1759,fic,20257,gutenberg,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,http://viaf.org/viaf/61552699,0.5588235294117647,0.36
11,"Sterne, Laurence, 1713-1768",1760,fic,1079,gutenberg,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,http://viaf.org/viaf/61552699,0.435093382522481,0.21367649259314678
399,"Lesuire, Robert Martin,",1760,teamred | random,nyp.33433075840177,genrescorpus,The savages of Europe,,0.5204802259887006,0.33396464646464646
12,"Hawkesworth, John, 1715?-1773",1761,fic,14013,gutenberg,EDGAR and EMMELINE: A FAIRY TALE.,http://viaf.org/viaf/85970662,0.3555158552925413,0.23058915333593444
400,"Rousseau, Jean-Jacques,",1761,teamred | random,hvd.hw3q0s,genrescorpus,Eloisa: or A series of or,,0.3881453154875717,0.2289393278044522
13,"Goldsmith, Oliver, 1728-1774",1766,fic,2667,gutenberg,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,http://viaf.org/viaf/100167171,0.4035656401944895,0.2464529689963216
