,title,author,underwood_id,gut_id,gut_title,gut_author,score,downloads,,,,,
0,Framley Parsonage,"Trollope, Anthony",TrolAFP,2860,Framley Parsonage,"Trollope, Anthony",100,123,,,,,
1,Evan Harrington,"Meredith, George",MereGEH,4434,Evan Harrington ? Complete,"Meredith, George",73,10,,,,,
2,Lovel the widower,"Thackeray, William Makepeace",ThacWLW,,The Rose and the Ring,"Thackeray, William Makepeace",42,127,,,,Correct,2860
3,Silas Marner,"Eliot, George",ElioGSM,550,Silas Marner,"Eliot, George",100,1137,,,,Correct,4434
4,Cloister and hearth,"Reade, Charles",ReadCCH,1366,The Cloister and the Hearth,"Reade, Charles",83,87,,,,Correct,
5,Great expectations,"Dickens, Charles",DickCGE,1400,Great Expectations,"Dickens, Charles",100,9909,,,,Correct,550
6,East Lynne,"Wood, Henry, Mrs.",WoodHEL,3322,East Lynne,"Wood, Henry, Mrs.",100,109,,,,Correct,1366
7,Adventures of Philip,"Thackeray, William Makepeace",ThacWAP,,The Tremendous Adventures of Major Gahagan,"Thackeray, William Makepeace",52,10,,,,Correct,1400
8,Lady Audley's secret,"Braddon, M. E.",BradMLA,8954,Lady Audley's Secret,"Braddon, M. E. (Mary Elizabeth)",100,488,,,,Correct,3322
9,Seven sons of Mammon,"Sala, George Augustus",SalaGSS,,An Account of Timbuctoo and Housa Territories in the Interior of Africa,"Shabeeny, Abd Salam, active 1820",47,48,,,,Correct,
10,No name,"Collins, Wilkie",CollWNN,1438,No Name,"Collins, Wilkie",100,218,,,,Correct,8954
11,Water-babies,"Kingsley, Charles",KingCW,1018,The Water-Babies,"Kingsley, Charles",86,174,,,,Correct,
12,Sylvia's lovers,"Gaskell, Elizabeth Cleghorn",GaskESL,4537,Sylvia's Lovers ? Complete,"Gaskell, Elizabeth Cleghorn",73,105,,,,Correct,1438
13,Hard cash,"Reade, Charles",ReadCHC,3067,Hard Cash,"Reade, Charles",100,42,,,,Correct,1018
14,Romola,"Eliot, George",ElioGR,24020,Romola,"Eliot, George",100,192,,,,Correct,4537
15,Salem Chapel,"Oliphant, Mrs. (Margaret)",OlipMSC,42013,"Salem Chapel, v. 1/2","Oliphant, Mrs. (Margaret)",75,17,,,,Correct,3067
16,Uncle Silas,"Le Fanu, Joseph Sheridan",LefaJUS,14851,Uncle Silas: A Tale of Bartram-Haugh,"Le Fanu, Joseph Sheridan",67,128,,,,Correct,24020
17,Can you forgive her?,"Trollope, Anthony",TrolACY,19500,Can You Forgive Her?,"Trollope, Anthony",100,198,,,,Incorrect,42013
18,Chronicles of the Schonberg-Cotta family,"Charles, Elizabeth Rundle",CharECS,36433,Chronicles of the Schonberg-Cotta Family,"Charles, Elizabeth Rundle",100,10,,,,Correct,14851
19,Denis Duval,"Thackeray, William Makepeace",ThacWDD,,Men's Wives,"Thackeray, William Makepeace",45,29,,,,Correct,19500
20,Small house at Allington,"Trollope, Anthony",TrolASH,4599,The Small House at Allington,"Trollope, Anthony",92,137,,,,Correct,36433
21,Our mutual friend,"Dickens, Charles",DickCOM,883,Our Mutual Friend,"Dickens, Charles",100,1049,,,,Correct,
22,Luttrell Of Arran,"Lever, Charles James",LeveCLA,35717,Luttrell Of Arran,"Lever, Charles James",100,3,,,,Correct,4599
23,Alice's adventures in Wonderland,"Carroll, Lewis",CarrLAA,11,Alice's Adventures in Wonderland,"Carroll, Lewis",100,17114,,,,Correct,883
24,Felix Holt,"Eliot, George",ElioGFH,40882,"Felix Holt, the Radical","Eliot, George",61,114,,,,,
25,Armadale,"Collins, Wilkie",CollWA,1895,Armadale,"Collins, Wilkie",100,117,,,,,
26,Hereward the wake,"Kingsley, Charles",KingCHW,7815,"Hereward, the Last of the English","Kingsley, Charles",71,37,,,,,
